Sun Jul  5 22:11:38 2026    profile.prof

         5343471 function calls (5336900 primitive calls) in 66.418 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     32/1    0.000    0.000   66.418   66.418 {built-in method builtins.exec}
        1    0.013    0.013   66.418   66.418 <string>:1(<module>)
        1    0.562    0.562   66.405   66.405 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\data_analysis\main.py:8(main)
        1    0.178    0.178   57.325   57.325 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\data_analysis\statistics.py:96(dictionary_stats)
        5    0.615    0.123   54.956   10.991 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\data_analysis\statistics.py:80(stats)
        5   36.713    7.343   40.743    8.149 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\data_analysis\statistics.py:46(count_letters)
        5    0.963    0.193   10.045    2.009 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\data_analysis\statistics.py:18(top10_words)
        3    0.057    0.019    7.213    2.404 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\data_analysis\load.py:19(load_dictionary_text)
      313    6.274    0.020    6.274    0.020 {method 'split' of 'str' objects}
       12    0.228    0.019    4.948    0.412 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\data_analysis\load.py:1(prepare_text)
  4842319    4.252    0.000    4.252    0.000 {method 'lower' of 'str' objects}
       27    0.000    0.000    4.019    0.149 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\collections\__init__.py:565(__init__)
       27    0.000    0.000    4.019    0.149 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\collections\__init__.py:640(update)
       27    4.018    0.149    4.018    0.149 {built-in method _collections._count_elements}
        1    1.106    1.106    3.885    3.885 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\data_analysis\analysis.py:46(no_words)
        6    2.450    0.408    3.503    0.584 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\data_analysis\statistics.py:12(count_words)
      580    3.272    0.006    3.358    0.006 {built-in method builtins.sorted}
       12    1.570    0.131    2.226    0.185 {method 'read' of '_io.TextIOWrapper' objects}
      685    1.862    0.003    1.862    0.003 {method 'replace' of 'str' objects}
        1    0.000    0.000    1.435    1.435 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\data_analysis\plots.py:31(all_plots)
        3    0.004    0.001    1.435    0.478 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\data_analysis\plots.py:5(plots)
        3    0.000    0.000    0.993    0.331 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\pyplot.py:2978(bar)
        9    0.000    0.000    0.970    0.108 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\pyplot.py:2782(gca)
